"id","internal_id","state_name","city_name","village_name","neighborhood_name","location_type"
1,21,"Варна",NULL,NULL,NULL,"state"
2,2976,"Сливен",NULL,NULL,NULL,"state"
3,4668,"София",NULL,NULL,NULL,"state"
4,10399,"Хасково",NULL,NULL,NULL,"state"
5,12790,"Софийска",NULL,NULL,NULL,"state"
6,16513,"Силистра",NULL,NULL,NULL,"state"
7,17789,"Видин",NULL,NULL,NULL,"state"
8,18921,"Шумен",NULL,NULL,NULL,"state"
9,20651,"Бургас",NULL,NULL,NULL,"state"
10,24661,"Благоевград",NULL,NULL,NULL,"state"
11,28119,"Търговище",NULL,NULL,NULL,"state"
12,29397,"Габрово",NULL,NULL,NULL,"state"
13,31286,"Смолян",NULL,NULL,NULL,"state"
14,32975,"Русе",NULL,NULL,NULL,"state"
15,35391,"Враца",NULL,NULL,NULL,"state"
16,37506,"Пазарджик",NULL,NULL,NULL,"state"
17,40131,"Плевен",NULL,NULL,NULL,"state"
18,42874,"Ямбол",NULL,NULL,NULL,"state"
19,43947,"Кюстендил",NULL,NULL,NULL,"state"
20,45699,"Велико Търново",NULL,NULL,NULL,"state"
21,48646,"Монтана",NULL,NULL,NULL,"state"
22,50372,"Ловеч",NULL,NULL,NULL,"state"
23,52378,"Пловдив",NULL,NULL,NULL,"state"
24,58094,"Перник",NULL,NULL,NULL,"state"
25,59587,"Кърджали",NULL,NULL,NULL,"state"
26,61154,"Стара Загора",NULL,NULL,NULL,"state"
27,63804,"Добрич",NULL,NULL,NULL,"state"
28,65828,"Разград",NULL,NULL,NULL,"state"
29,22,"Варна","Варна",NULL,NULL,"city"
30,1040,"Варна","Девня",NULL,NULL,"city"
31,1255,"Варна","Белослав",NULL,NULL,"city"
32,1348,"Варна","Златни Пясъци",NULL,NULL,"city"
33,1373,"Варна","Провадия",NULL,NULL,"city"
34,1509,"Варна","Вълчи Дол",NULL,NULL,"city"
35,1575,"Варна","Долни Чифлик",NULL,NULL,"city"
36,1726,"Варна","Бяла",NULL,NULL,"city"
37,1829,"Варна","Аксаково",NULL,NULL,"city"
38,2207,"Варна","Дългопол",NULL,NULL,"city"
39,2327,"Варна","Игнатиево",NULL,NULL,"city"
40,2665,"Варна","Суворово",NULL,NULL,"city"
41,2977,"Сливен","Нова Загора",NULL,NULL,"city"
42,3171,"Сливен","Сливен",NULL,NULL,"city"
43,3666,"Сливен","Котел",NULL,NULL,"city"
44,3773,"Сливен","Твърдица",NULL,NULL,"city"
45,3886,"Сливен","Шивачево",NULL,NULL,"city"
46,4191,"Сливен","Кермен",NULL,NULL,"city"
47,4669,"София","София",NULL,NULL,"city"
48,8692,"София","Банкя",NULL,NULL,"city"
49,9698,"София","Нови Искър",NULL,NULL,"city"
50,10023,"София","Бухово",NULL,NULL,"city"
51,10400,"Хасково","Хасково",NULL,NULL,"city"
52,10906,"Хасково","Свиленград",NULL,NULL,"city"
53,11145,"Хасково","Димитровград",NULL,NULL,"city"
54,11369,"Хасково","Харманли",NULL,NULL,"city"
55,11529,"Хасково","Любимец",NULL,NULL,"city"
56,11657,"Хасково","Симеоновград",NULL,NULL,"city"
57,12073,"Хасково","Ивайловград",NULL,NULL,"city"
58,12265,"Хасково","Маджарово",NULL,NULL,"city"
59,12319,"Хасково","Меричлери",NULL,NULL,"city"
60,12574,"Хасково","Тополовград",NULL,NULL,"city"
61,12791,"Софийска","Ботевград",NULL,NULL,"city"
62,12932,"Софийска","Ихтиман",NULL,NULL,"city"
